Id,PostId,Score,CreationDate,UserId
5,5,9,2014-05-14T00:23:15.437,34
6,7,4,2014-05-14T00:38:19.510,51
9,7,3,2014-05-14T01:16:12.623,66
14,7,0,2014-05-14T02:35:50.090,36
80,7,1,2014-05-15T21:08:13.933,158
13,10,2,2014-05-14T02:16:20.503,24
20,14,0,2014-05-14T08:00:35.420,53
12,15,3,2014-05-14T02:00:22.797,51
19,19,7,2014-05-14T07:48:10.370,115
1242,19,21,2014-06-11T12:07:51.477,471
5947,19,1,2015-04-21T20:52:25.963,9237
13429,19,0,2016-06-18T02:14:37.553,2723
14665,19,0,2016-08-09T10:13:15.123,21825
98,20,3,2014-05-17T04:21:42.693,70
55186,21,1,2019-03-29T02:34:10.403,14
17,22,8,2014-05-14T06:47:00.223,21
9158,22,1,2015-12-14T19:24:05.343,
35499,22,0,2018-04-13T09:23:23.063,50468
40,24,18,2014-05-14T17:53:54.897,92
48,24,1,2014-05-14T19:54:45.137,14
1267,24,6,2014-06-12T16:08:03.140,554
1591,24,5,2014-06-25T14:38:17.337,1155
1671,24,1,2014-07-01T14:36:16.047,14
16326,24,0,2016-10-21T20:24:33.143,3571
16403,24,0,2016-10-26T08:38:04.680,14
17217,24,0,2016-11-29T20:16:52.677,14
32432,24,0,2018-02-15T03:37:09.510,18481
1656,30,2,2014-06-30T16:00:06.990,322
6519,30,2,2015-06-18T15:57:30.660,10220
6521,30,2,2015-06-18T16:18:20.830,10220
21,31,1,2014-05-14T09:08:56.007,120
22,31,0,2014-05-14T09:11:09.143,118
24,31,1,2014-05-14T09:31:01.977,120
35,31,0,2014-05-14T16:15:01.610,118
26,37,6,2014-05-14T10:49:41.527,84
31,37,5,2014-05-14T15:16:37.650,157
3924,37,7,2014-12-12T22:55:16.847,6391
10674,37,0,2016-03-11T06:17:05.157,13686
1291,38,3,2014-06-13T07:29:24.280,471
16477,38,0,2016-10-30T10:35:44.587,134
38,41,4,2014-05-14T17:45:41.430,92
1200,44,0,2014-06-09T23:07:41.553,413
1234,44,0,2014-06-11T06:34:50.310,434
8979,44,3,2015-12-05T06:03:32.720,13023
32,46,0,2014-05-14T15:32:16.760,63
37,46,4,2014-05-14T17:30:36.967,41
50,46,1,2014-05-14T21:02:21.930,21
1574,47,1,2014-06-25T07:03:56.810,1155
1326,50,2,2014-06-14T09:31:19.403,471
29,51,0,2014-05-14T14:58:48.107,151
30,51,1,2014-05-14T15:14:00.130,62
42,52,2,2014-05-14T18:11:45.363,146
86,52,3,2014-05-16T05:17:27.677,116
41,57,0,2014-05-14T18:09:54.360,146
43,57,0,2014-05-14T18:20:28.510,84
44,57,1,2014-05-14T18:34:15.603,146
46,57,0,2014-05-14T18:44:15.457,84
47,57,0,2014-05-14T18:49:49.287,146
2003,57,1,2014-08-05T13:01:12.313,1156
57,58,1,2014-05-15T01:05:14.973,63
144,59,0,2014-05-20T17:42:19.287,227
90,61,1,2014-05-16T13:09:01.880,21
91,61,0,2014-05-16T13:13:46.987,158
92,61,0,2014-05-16T13:14:24.237,21
93,61,0,2014-05-16T13:49:13.207,158
1336,61,1,2014-06-16T10:51:52.677,762
1339,61,0,2014-06-16T14:06:19.127,675
1342,61,0,2014-06-16T15:57:44.980,158
1351,61,1,2014-06-16T20:19:32.450,675
1434,61,0,2014-06-19T11:50:57.280,158
1451,61,0,2014-06-19T20:27:23.540,762
1459,61,0,2014-06-19T21:56:03.637,158
1469,61,0,2014-06-20T07:37:44.590,762
1470,61,0,2014-06-20T07:39:37.753,762
1474,61,0,2014-06-20T11:49:26.910,158
1494,61,0,2014-06-21T09:17:29.030,762
34286,61,0,2018-03-17T21:37:44.087,48984
49,69,0,2014-05-14T21:00:16.777,157
51,69,0,2014-05-14T21:46:39.713,158
52,70,0,2014-05-14T22:14:32.813,158
53,70,0,2014-05-14T22:16:44.943,158
54,70,0,2014-05-14T22:32:23.857,158
58,70,0,2014-05-15T01:37:11.243,178
55,71,2,2014-05-14T23:07:08.427,36
56,71,7,2014-05-14T23:47:53.803,24
61,71,1,2014-05-15T08:55:18.250,26
93893,71,0,2021-02-21T23:00:01.097,91724
60,76,1,2014-05-15T07:02:00.873,115
65,76,0,2014-05-15T13:01:58.240,59
66,76,1,2014-05-15T13:24:51.407,158
78,76,1,2014-05-15T20:48:23.770,158
79,76,0,2014-05-15T20:49:10.247,158
118,76,1,2014-05-18T11:31:19.250,118
141,84,2,2014-05-19T23:38:38.263,249
68,85,0,2014-05-15T14:19:14.513,178
82,91,0,2014-05-16T02:48:03.413,189
84,91,0,2014-05-16T04:29:25.523,84
83,92,0,2014-05-16T02:52:12.253,189
89,92,0,2014-05-16T13:07:54.197,21
69,93,0,2014-05-15T14:57:50.803,116
70,93,0,2014-05-15T14:59:59.857,116
71,93,1,2014-05-15T15:03:21.477,116
56599,97,0,2019-04-18T05:45:06.503,25345
85,101,0,2014-05-16T05:10:18.347,116
94,101,1,2014-05-16T14:44:37.800,92
87,102,1,2014-05-16T06:15:20.240,115
88,102,1,2014-05-16T12:35:21.483,178
97,102,1,2014-05-17T03:51:36.990,70
95,103,2,2014-05-16T16:28:18.287,156
96,103,4,2014-05-17T00:12:00.940,92
104,103,0,2014-05-17T09:01:14.093,113
105,103,0,2014-05-17T09:02:59.783,113
111,103,2,2014-05-17T16:07:09.590,156
112,103,2,2014-05-17T16:30:06.077,92
116,103,4,2014-05-18T02:16:46.537,31
71489,103,0,2020-01-08T18:03:44.600,113
5336,111,0,2015-02-04T18:33:51.763,8098
99,112,0,2014-05-17T08:15:16.490,200
100,113,1,2014-05-17T08:29:53.633,211
122,113,0,2014-05-18T13:43:52.580,172
102,115,2,2014-05-17T08:55:28.927,173
106,115,0,2014-05-17T09:05:02.373,212
107,115,0,2014-05-17T09:35:04.733,173
108,115,0,2014-05-17T11:39:36.970,212
109,115,2,2014-05-17T11:55:48.903,212
113,116,1,2014-05-17T18:12:20.767,92
114,116,0,2014-05-17T18:29:41.743,173
115,116,0,2014-05-17T18:47:06.270,92
135,120,1,2014-05-19T07:18:44.240,212
119,121,0,2014-05-18T12:09:17.057,173
156,121,0,2014-05-22T20:36:20.637,92
124,126,0,2014-05-18T16:07:01.423,
5451,128,0,2015-02-18T09:25:21.440,7848
36365,129,0,2018-04-29T15:58:27.357,51362
1353,132,2,2014-06-16T21:05:47.767,890
7898,132,1,2015-10-02T07:26:54.503,816
51103,132,0,2019-01-15T13:03:00.877,24837
123,134,2,2014-05-18T14:16:42.150,118
130,135,4,2014-05-18T21:52:42.273,236
137,135,0,2014-05-19T08:08:53.207,227
145,135,1,2014-05-20T18:46:45.713,158
1220,135,6,2014-06-10T20:31:38.787,598
8990,135,0,2015-12-05T18:35:17.533,10663
125,138,1,2014-05-18T19:10:48.500,227
132,138,0,2014-05-18T21:59:09.827,84
136,140,0,2014-05-19T07:36:33.670,200
129,155,24,2014-05-18T21:23:52.687,216
138,155,4,2014-05-19T08:28:56.713,227
160,155,4,2014-05-26T17:08:57.360,289
6008,155,0,2015-04-30T17:42:11.410,9146
6289,155,0,2015-05-29T18:00:14.140,3466
6558,155,3,2015-06-21T21:00:42.177,10133
10889,155,2,2016-03-24T04:22:56.613,10319
26498,155,1,2017-08-31T20:25:46.190,8820
37322,155,1,2018-05-11T04:05:41.567,51948
3959,156,0,2014-12-17T14:39:02.783,43
127,159,0,2014-05-18T19:51:54.947,84
128,159,0,2014-05-18T20:00:18.810,158
133,159,0,2014-05-18T23:38:07.320,229
131,161,0,2014-05-18T21:56:12.430,84
173,161,1,2014-05-29T13:57:43.450,21
174,161,0,2014-05-29T15:04:26.473,84
139,165,0,2014-05-19T11:41:09.810,229
140,165,0,2014-05-19T11:45:21.380,229
6287,170,0,2015-05-29T12:41:01.670,6550
13981,170,0,2016-07-11T10:54:22.917,84
1448,172,0,2014-06-19T18:22:28.557,1023
51318,172,0,2019-01-20T20:16:18.837,1330
51319,172,0,2019-01-20T20:17:43.573,1330
142,174,1,2014-05-20T15:18:13.717,92
143,174,1,2014-05-20T17:06:04.223,178
146,174,1,2014-05-20T19:28:01.027,172
147,174,0,2014-05-20T19:33:50.253,172
155,174,0,2014-05-22T20:32:52.293,92
149,175,1,2014-05-20T22:38:19.070,84
175,175,0,2014-05-30T06:16:20.733,227
180,175,0,2014-05-31T06:56:25.183,249
181,175,0,2014-05-31T07:00:48.387,249
151,179,1,2014-05-21T12:08:21.993,173
153,179,0,2014-05-21T12:10:59.243,97
176,179,2,2014-05-30T06:31:29.873,227
182,182,0,2014-05-31T07:03:29.753,249
152,183,0,2014-05-21T12:10:22.683,173
1201,188,1,2014-06-10T04:15:12.013,434
5621,189,0,2015-03-13T07:37:36.660,2452
