Id,PostTypeId,CreationDate,Score,OwnerUserId
5,1,2014-05-13T23:58:30.457,9,5.0
7,1,2014-05-14T00:11:06.457,4,36.0
9,2,2014-05-14T00:36:31.077,5,51.0
10,2,2014-05-14T00:53:43.273,13,22.0
14,1,2014-05-14T01:25:59.677,26,66.0
15,1,2014-05-14T01:41:23.110,2,64.0
16,1,2014-05-14T01:57:56.880,17,63.0
17,5,2014-05-14T02:49:14.580,0,63.0
18,4,2014-05-14T02:49:14.580,0,-1.0
19,1,2014-05-14T03:56:20.963,94,84.0
20,1,2014-05-14T05:37:46.780,19,96.0
21,2,2014-05-14T05:44:29.340,34,14.0
22,1,2014-05-14T05:58:21.927,202,97.0
23,2,2014-05-14T06:06:13.603,8,97.0
24,2,2014-05-14T06:26:27.163,184,14.0
25,2,2014-05-14T07:26:04.390,7,104.0
26,2,2014-05-14T07:38:31.103,15,115.0
27,2,2014-05-14T07:53:02.560,10,108.0
28,2,2014-05-14T07:55:40.133,6,118.0
29,2,2014-05-14T07:56:34.437,27,53.0
30,2,2014-05-14T08:03:28.117,22,26.0
31,1,2014-05-14T08:38:07.007,10,118.0
33,2,2014-05-14T09:34:15.477,6,132.0
35,1,2014-05-14T09:51:54.753,21,26.0
37,2,2014-05-14T10:41:23.823,94,9.0
38,1,2014-05-14T10:44:58.933,15,134.0
40,2,2014-05-14T11:12:03.880,8,104.0
41,1,2014-05-14T11:15:40.907,55,136.0
42,2,2014-05-14T11:21:31.500,5,59.0
43,2,2014-05-14T11:23:25.913,16,115.0
44,2,2014-05-14T11:24:39.530,43,59.0
45,2,2014-05-14T11:26:40.580,7,84.0
46,2,2014-05-14T12:32:29.503,11,21.0
47,2,2014-05-14T12:39:41.197,31,62.0
48,5,2014-05-14T13:08:26.647,0,201.0
49,4,2014-05-14T13:08:26.647,0,2961.0
50,1,2014-05-14T14:26:54.313,5,151.0
51,2,2014-05-14T14:48:32.180,9,62.0
52,1,2014-05-14T15:25:21.700,37,157.0
53,2,2014-05-14T15:42:02.393,10,116.0
57,2,2014-05-14T16:29:39.927,18,84.0
58,2,2014-05-14T17:06:33.337,10,119.0
59,1,2014-05-14T17:48:21.240,11,158.0
60,2,2014-05-14T17:58:48.297,8,118.0
61,1,2014-05-14T18:09:01.940,57,158.0
62,2,2014-05-14T18:27:56.043,49,26.0
64,2,2014-05-14T18:37:52.333,18,84.0
65,5,2014-05-14T18:45:23.917,0,-1.0
66,4,2014-05-14T18:45:23.917,0,118.0
67,5,2014-05-14T18:48:42.263,0,201.0
68,4,2014-05-14T18:48:42.263,0,201.0
69,1,2014-05-14T20:03:15.233,3,158.0
70,2,2014-05-14T22:03:50.597,2,178.0
71,1,2014-05-14T22:12:37.203,14,179.0
72,2,2014-05-14T22:40:40.363,6,22.0
73,2,2014-05-14T22:43:23.587,5,14.0
74,2,2014-05-14T22:58:11.583,2,64.0
75,1,2014-05-15T00:26:11.387,5,158.0
76,1,2014-05-15T00:39:33.433,6,158.0
77,1,2014-05-15T01:22:35.167,10,158.0
78,2,2014-05-15T01:46:28.467,7,178.0
79,5,2014-05-15T03:19:40.360,0,53.0
80,4,2014-05-15T03:19:40.360,0,53.0
81,1,2014-05-15T04:59:54.317,16,84.0
82,2,2014-05-15T05:19:34.757,17,172.0
83,2,2014-05-15T07:47:44.710,8,26.0
84,2,2014-05-15T08:19:40.577,10,26.0
85,2,2014-05-15T08:44:47.327,4,26.0
86,1,2014-05-15T09:04:09.710,15,116.0
87,2,2014-05-15T09:30:36.460,8,108.0
89,1,2014-05-15T11:22:27.293,12,189.0
90,2,2014-05-15T11:46:38.170,4,156.0
91,2,2014-05-15T11:56:43.607,13,84.0
92,2,2014-05-15T13:18:38.693,10,21.0
93,2,2014-05-15T13:30:04.270,6,21.0
94,1,2014-05-15T14:41:24.020,21,84.0
95,2,2014-05-15T15:06:24.600,5,9.0
96,2,2014-05-15T15:10:30.243,7,115.0
97,2,2014-05-15T17:14:36.817,15,158.0
101,2,2014-05-15T21:41:22.703,9,92.0
102,1,2014-05-16T05:09:33.557,6,199.0
103,1,2014-05-16T14:26:12.270,25,113.0
104,5,2014-05-16T15:35:51.420,0,53.0
105,4,2014-05-16T15:35:51.420,0,53.0
106,2,2014-05-16T16:25:58.250,6,34.0
107,1,2014-05-16T20:07:50.983,12,200.0
108,5,2014-05-16T20:24:38.980,1,-1.0
109,4,2014-05-16T20:24:38.980,0,200.0
111,2,2014-05-17T03:07:59.707,7,26.0
112,2,2014-05-17T04:18:10.020,8,70.0
113,1,2014-05-17T04:53:03.913,13,199.0
115,1,2014-05-17T08:45:08.420,15,212.0
116,1,2014-05-17T09:16:18.823,28,173.0
118,5,2014-05-17T13:41:20.283,0,201.0
119,4,2014-05-17T13:41:20.283,0,201.0
120,2,2014-05-17T18:15:11.937,5,92.0
121,2,2014-05-17T18:53:30.123,16,92.0
122,2,2014-05-17T20:56:15.577,10,180.0
123,5,2014-05-17T21:10:41.990,0,53.0
124,4,2014-05-17T21:10:41.990,0,53.0
126,2,2014-05-17T23:53:42.700,2,26.0
128,1,2014-05-18T06:10:52.543,62,122.0
129,1,2014-05-18T06:17:37.587,10,122.0
130,1,2014-05-18T06:26:15.673,70,122.0
131,2,2014-05-18T06:54:08.560,9,26.0
132,2,2014-05-18T07:53:58.203,57,172.0
133,2,2014-05-18T09:09:47.780,12,26.0
134,1,2014-05-18T12:03:21.650,11,227.0
135,2,2014-05-18T12:30:06.853,9,227.0
136,5,2014-05-18T12:55:39.657,0,227.0
137,4,2014-05-18T12:55:39.657,0,227.0
138,1,2014-05-18T14:02:51.350,10,84.0
139,2,2014-05-18T14:04:37.870,3,118.0
140,2,2014-05-18T14:30:10.553,4,118.0
141,5,2014-05-18T14:36:16.350,0,-1.0
142,4,2014-05-18T14:36:16.350,0,84.0
143,1,2014-05-18T14:37:20.477,10,229.0
144,5,2014-05-18T14:58:34.853,0,29575.0
145,4,2014-05-18T14:58:34.853,0,118.0
146,5,2014-05-18T15:01:24.080,0,29575.0
147,4,2014-05-18T15:01:24.080,0,118.0
148,5,2014-05-18T15:08:08.913,0,229.0
149,4,2014-05-18T15:08:08.913,0,229.0
151,5,2014-05-18T15:34:16.437,0,229.0
152,4,2014-05-18T15:34:16.437,0,229.0
153,2,2014-05-18T17:38:01.383,3,84.0
154,2,2014-05-18T17:53:37.750,3,229.0
155,1,2014-05-18T18:45:38.957,202,227.0
156,2,2014-05-18T19:19:44.240,39,118.0
157,2,2014-05-18T19:22:05.160,12,36.0
158,2,2014-05-18T19:29:53.530,112,84.0
