Id,TagName,Count,ExcerptPostId,WikiPostId
1,definitions,39,105.0,104.0
2,machine-learning,11403,4909.0,4908.0
3,bigdata,456,66.0,65.0
5,data-mining,1181,80.0,79.0
6,databases,100,8960.0,8959.0
8,libsvm,16,18.0,17.0
10,scalability,33,,
11,efficiency,44,142.0,141.0
12,performance,182,99799.0,99798.0
13,nosql,23,119.0,118.0
14,relational-dbms,7,,
15,clustering,1396,145.0,144.0
16,octave,16,68.0,67.0
17,k-means,452,8958.0,8957.0
19,algorithms,405,8932.0,8931.0
21,tools,68,90882.0,90881.0
22,processing,18,,
23,apache-hadoop,118,5840.0,5839.0
24,r,1485,49.0,48.0
26,data-cleaning,762,8940.0,8939.0
27,statistics,1129,3790.0,3789.0
29,distributed,38,,
31,neo4j,13,181.0,180.0
35,information-retrieval,145,48747.0,48746.0
36,google,45,80788.0,80787.0
37,search,59,,
39,education,34,8276.0,8275.0
40,open-source,22,,
42,similarity,288,,
43,data-stream-mining,24,109.0,108.0
45,dimensionality-reduction,291,8975.0,8974.0
46,python,6693,5523.0,5522.0
47,nlp,2740,147.0,146.0
48,language-model,170,88032.0,88031.0
50,topic-model,151,8400.0,8399.0
51,lda,126,6763.0,6762.0
54,feature-selection,974,8936.0,8935.0
55,map-reduce,29,137.0,136.0
56,mongodb,15,178.0,177.0
59,indexing,23,152.0,151.0
60,data-indexing-techniques,9,149.0,148.0
61,dataset,1508,8889.0,8888.0
62,.net,13,168.0,167.0
64,pandas,1340,9185.0,9184.0
65,parallel,39,,
66,metadata,21,,
67,parsing,36,,
71,social-network-analysis,94,8973.0,8972.0
72,time-series,1885,8904.0,8903.0
73,javascript,40,,
74,visualization,699,8952.0,8951.0
76,svm,580,8574.0,8573.0
77,classification,3281,4911.0,4910.0
78,binary,107,,
80,optimization,500,8954.0,8953.0
81,neural-network,4368,8885.0,8884.0
82,usecase,10,,
83,consumerweb,7,,
84,parameter,45,,
87,aws,67,88105.0,88104.0
90,text-mining,573,8900.0,8899.0
94,freebase,3,48674.0,48673.0
95,knowledge-base,25,,
100,confusion-matrix,181,9043.0,9042.0
101,accuracy,407,90254.0,90253.0
102,categorical-data,395,8977.0,8976.0
104,data-formats,37,,
105,hierarchical-data-format,31,,
108,sql,107,8990.0,8989.0
109,research,70,,
110,experiments,42,39144.0,39143.0
113,random-forest,853,8938.0,8937.0
114,logistic-regression,706,8934.0,8933.0
116,crawling,14,,
119,anonymization,16,,
120,beginner,152,10335.0,10334.0
123,graphs,219,89838.0,89837.0
124,cross-validation,641,8988.0,8987.0
126,sampling,187,,
128,scikit-learn,2308,5896.0,5895.0
129,kaggle,120,48600.0,48599.0
135,gradient-descent,450,48491.0,48490.0
136,feature-extraction,414,10019.0,10018.0
138,state-of-the-art,10,,
139,career,65,,
143,genetic,5,,
144,correlation,400,8969.0,8968.0
146,error-handling,54,,
147,apache-pig,7,22402.0,22401.0
156,glm,29,,
157,regression,1592,8906.0,8905.0
158,scala,46,49016.0,49015.0
